Sex	Equipment	Age	Division	BodyweightKg	WeightClassKg	BestSquatKg	BestBenchKg	BestDeadliftKg	TotalKg	Wilks	average_Age	average_BodyweightKg	average_WeightclassKg	average_BestsquatKg	average_BestBenchKg	average_BestDeadliftKg	average_TotalKg	average_Wilks	median_Age	median_BodyweightKg	median_WeightclassKg	median_BestSquatKg	median_BestBenchKg	median_BestDeadliftKg	median_TotalKg	median_Wilks	mode_Age	mode_BodyweightKg	mode_WeightclassKg	mode_BestSquatKg	mode_BestBenchKg	mode_BestDeadliftKg	mode_TotalKg	mode_Wilks	min_Age	min_BodyweightKg	min_WeightclassKg	min_BestSquatKg	min_BestBenchKg	min_BestDeadliftKg	min_TotalKg	min_Wilks	max_Age	max_BodyweightKg	max_WeightclassKg	max_BestSquatKg	max_BestBenchKg	max_BestDeadliftKg	max_TotalKg	max_Wilks	STDEV_Age	STDEV_BodyweightKg	STDEV_WeightclassKg	STDEV_BestSquatKg	STDEV_BestBenchKg	STDEV_BestDeadliftKg	STDEV_TotalKg	STDEV_Wilks
M	Wraps	42	M-OFRC-U	81.47	82.5	249.48	158.76	244.94	653.17	440.9	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	25	M-OFRC-T	80.06	82.5	251.74	149.69	256.28	657.71	448.81	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	24	M-NBR-X	81.65	82.5		149.69		149.69	100.91	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	28	F-NBR-X	72.94	75		54.43		54.43	52.67	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	61	M-M5FR-X	99.79	100	158.76	106.59	167.83	433.18	263.85	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	17	M-T2FR-X	87.27	90	156.49	97.52	192.78	446.79	289.87	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	19	M-T3FRC-X	95.66	100	226.8	127.01	231.33	585.13	362.84	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	39	M-OFR-U	88.9	90	181.44	192.78	244.94	619.15	397.77	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	45	M-M2FRC-X	95.66	100	240.4	165.56	226.8	632.76	392.37	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	45	M-OFRC-U	95.66	100	240.4	165.56	226.8	632.76	392.37	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
